Breed,Group,P1,P2,P3,P4,P5,P6,P7,P8,P9
Bernese Mountain Dog,Utility,1.45,2.166666667,1.633333333,1.016666667,4.7,2.3,1.8,2.05,1.35
Bichon Frise,Toys,1.716666667,2.6,1.866666667,1.183333333,4.5,2.6,2.133333333,2.4,1.583333333
Biewer Terrier,Toys,2.033333333,2.8,1.966666667,1.566666667,4.3,2.6,2.3,2.475,1.95
Black and Tan Coonhound,Hounds,1.733333333,2.8,1.533333333,1.283333333,4.55,2.05,2.066666667,2.0,1.85
Bloodhound,Hounds,1.583333333,2.6,1.466666667,1.1,4.6,2.05,1.966666667,1.925,1.633333333
Bluetick Coonhound,Hounds,1.783333333,2.9,1.6,1.366666667,4.45,2.15,2.066666667,2.1,1.933333333
Bolognese,Toys,1.9,2.433333333,2.033333333,1.533333333,4.3,2.75,2.2,2.5,1.75
Border Collie,Working Dogs,1.566666667,3.266666667,1.633333333,1.116666667,4.75,2.25,1.833333333,2.225,1.85
Border Terrier,Terriers,1.783333333,2.933333333,1.7,1.333333333,4.55,2.3,2.0,2.2,1.9
Borzoi,Hounds,1.983333333,2.833333333,1.7,1.733333333,4.15,2.2,2.2,2.175,2.133333333
Boston Terrier,Non-Sporting,1.75,2.533333333,1.766666667,1.283333333,4.5,2.4,2.066666667,2.25,1.666666667
Bouvier Des Flandres,Working Dogs,1.966666667,2.633333333,1.666666667,1.716666667,4.35,2.1,1.966666667,2.075,2.05
Boxer,Utility,1.883333333,2.933333333,1.833333333,1.3,4.65,2.45,2.233333333,2.35,1.833333333
